ACTCMMID,COSTT4_A,RET_FT4,MD_EARN_WNE_INC1_P10,SAT_AVG,TUITIONFEE_IN,OPENADMP,UG25ABV,PCTPELL,PCTPELL_DCS,C150_4
22.0,40132.0,0.8193,45447.0,1100.0,28830.0,2.0,0.0893,0.3482,0.3892,0.7056
23.0,19050.0,0.6272,41402.0,1101.0,8985.0,2.0,0.1205,0.262,0.3565,0.3569
25.0,21624.0,0.7085,52687.0,1157.0,10144.0,2.0,0.1728,0.3592,0.3686,0.5634
24.0,20435.0,0.6989,42817.0,1139.0,10210.0,2.0,0.0903,0.2288,0.298,0.5106
23.0,13332.0,0.6388,45559.0,1105.0,7941.0,2.0,0.1615,0.345,0.3721,0.416
21.0,15251.0,0.6604,42099.0,1064.0,7941.0,2.0,0.2147,0.4116,0.4197,0.3616
29.0,27131.0,0.8986,51816.0,1322.0,11447.0,2.0,0.0174,0.1745,0.1758,0.8113
22.0,13597.0,0.6791,38084.0,1068.0,7941.0,2.0,0.2416,0.4316,0.4495,0.3732
23.0,14752.0,0.6052,43960.0,1124.0,7941.0,2.0,0.2322,0.3404,0.349,0.3456
22.0,15899.0,0.6388,40444.0,1092.0,7941.0,2.0,0.4053,0.3589,0.3926,0.4249
23.0,41692.0,0.7823,46559.0,1120.0,29684.0,2.0,0.0256,0.2594,0.2817,0.6667
34.0,78347.0,0.9738,99391.0,1515.0,60301.0,2.0,0.0011,0.1152,0.1155,0.9633
19.0,40024.0,0.7114,38439.0,1010.0,26400.0,2.0,0.0648,0.2822,0.3648,0.5349
31.0,72651.0,0.9167,101261.0,1398.0,54602.0,2.0,0.0034,0.1225,0.1228,0.8085
22.0,43022.0,0.6812,53677.0,1050.0,34050.0,2.0,0.1912,0.4403,0.4408,0.5575
20.0,43905.0,0.6703,40486.0,1021.0,32700.0,2.0,0.3203,0.5435,0.5497,0.519
26.0,63986.0,0.8347,56140.0,1259.0,49930.0,2.0,0.0086,0.2685,0.2738,0.7488
25.0,48921.0,0.7809,46285.0,1178.5,34890.0,2.0,0.0121,0.1577,0.2666,0.6508
26.0,60150.0,0.8804,59806.0,1230.0,47475.0,2.0,0.0012,0.2381,0.2381,0.7535
22.0,51406.0,0.7585,43919.0,1115.0,38644.0,2.0,0.3141,0.4442,0.4607,0.5792
22.0,34302.0,0.7375,51492.0,1117.0,19800.0,2.0,0.0079,0.2248,0.2306,0.7143
21.0,51322.0,0.6667,53090.0,1055.0,38060.0,2.0,0.0363,0.3863,0.3863,0.5759
27.0,62571.0,0.7951,47245.0,1253.0,49158.0,2.0,0.0086,0.2831,0.2842,0.6341
25.0,49104.0,0.8042,46138.0,1182.0,34600.0,2.0,0.0111,0.1824,0.1984,0.6701
28.0,60642.0,0.8287,62312.0,1304.0,47912.0,2.0,0.0407,0.1923,0.1953,0.764
22.0,30059.0,0.7021,36460.0,1090.0,19800.0,2.0,0.0881,0.3834,0.3895,0.8154
24.0,29489.0,0.88,46692.0,1090.0,18740.0,2.0,0.0547,0.3724,0.4831,0.5484
20.0,46380.0,0.6129,41313.0,1178.5,31970.0,2.0,0.1097,0.4859,0.5049,0.481
20.0,43078.0,0.6851,48707.0,1178.5,32068.0,2.0,0.1672,0.3946,0.3946,0.5224
32.0,75698.0,0.9321,60908.0,1480.0,61480.0,2.0,0.0017,0.1739,0.1774,0.8838
25.0,21932.0,0.857,58795.0,1197.0,10133.0,2.0,0.0399,0.1915,0.1935,0.7445
18.0,46894.0,0.5447,42271.0,1003.0,34700.0,2.0,0.0907,0.5026,0.5341,0.297
26.0,26358.0,0.8864,55748.0,1222.0,10353.0,2.0,0.0583,0.1868,0.1904,0.7369
26.0,61175.0,0.8115,49580.0,1241.0,48160.0,2.0,0.004,0.176,0.1773,0.7423
20.0,31905.0,0.6667,60614.0,1178.5,16632.0,2.0,0.5268,0.3256,0.3256,0.44
23.0,20969.0,0.8257,52950.0,1121.0,9411.0,2.0,0.0729,0.2601,0.265,0.6384
24.0,47339.0,0.7836,48847.0,1178.5,34250.0,2.0,0.0475,0.2505,0.26,0.6299
24.0,48547.0,0.7907,51584.0,1153.0,34570.0,2.0,0.0835,0.2657,0.2667,0.6402
24.0,57690.0,0.7832,59287.0,1410.0,45108.0,2.0,0.1024,0.3575,0.3575,0.6667
21.0,48044.0,0.5682,44944.0,1065.0,33639.0,2.0,0.6462,0.3438,0.3718,0.4206
23.0,59828.0,0.7046,50651.0,1113.0,49190.0,2.0,0.0079,0.2289,0.2306,0.6719
19.0,39936.0,0.6238,40488.0,971.0,27800.0,2.0,0.1871,0.4663,0.4806,0.2987
21.0,47258.0,0.7972,55954.0,1050.0,32320.0,2.0,0.1632,0.226,0.2894,0.479
26.0,51009.0,0.7678,53294.0,1220.0,33720.0,2.0,0.0195,0.1585,0.1683,0.6764
